id,user_id,devotional_id,read_at,read_date,created_at
1,5a82822e-c53b-4653-a5ff-e9947f4a3c36,34,2025-07-01 19:48:32.086495+00,2025-07-01,2025-07-01 19:48:32.086495+00
2,5a82822e-c53b-4653-a5ff-e9947f4a3c36,14,2025-06-20 12:17:33.374123+00,2025-06-20,2025-06-20 12:17:33.374123+00
3,5a82822e-c53b-4653-a5ff-e9947f4a3c36,15,2025-06-21 08:07:45.510621+00,2025-06-21,2025-06-21 08:07:45.510621+00
4,5a82822e-c53b-4653-a5ff-e9947f4a3c36,31,2025-06-22 17:46:12.461273+00,2025-06-22,2025-06-22 17:46:12.461273+00
5,5a82822e-c53b-4653-a5ff-e9947f4a3c36,11,2025-06-09 11:26:55.037259+00,2025-06-09,2025-06-09 11:26:55.037259+00
6,5a82822e-c53b-4653-a5ff-e9947f4a3c36,6,2025-06-10 08:04:12.090903+00,2025-06-10,2025-06-10 08:04:12.090903+00
7,5a82822e-c53b-4653-a5ff-e9947f4a3c36,16,2025-06-12 21:36:05.116997+00,2025-06-12,2025-06-12 21:36:05.116997+00
8,5a82822e-c53b-4653-a5ff-e9947f4a3c36,20,2025-06-13 09:26:14.984334+00,2025-06-13,2025-06-13 09:26:14.984334+00
9,5a82822e-c53b-4653-a5ff-e9947f4a3c36,17,2025-06-14 19:01:46.56343+00,2025-06-14,2025-06-14 19:01:46.56343+00
10,5a82822e-c53b-4653-a5ff-e9947f4a3c36,1,2025-06-15 18:31:48.306057+00,2025-06-15,2025-06-15 18:31:48.306057+00
11,5a82822e-c53b-4653-a5ff-e9947f4a3c36,10,2025-06-16 18:18:01.838032+00,2025-06-16,2025-06-16 18:18:01.838032+00
12,5a82822e-c53b-4653-a5ff-e9947f4a3c36,12,2025-06-18 07:37:02.411424+00,2025-06-18,2025-06-18 07:37:02.411424+00
13,5a82822e-c53b-4653-a5ff-e9947f4a3c36,9,2025-06-19 11:12:38.174886+00,2025-06-19,2025-06-19 11:12:38.174886+00
14,5a82822e-c53b-4653-a5ff-e9947f4a3c36,35,2025-07-02 07:12:53.270737+00,2025-07-02,2025-07-02 07:12:53.270737+00
15,5a82822e-c53b-4653-a5ff-e9947f4a3c36,25,2025-07-06 19:23:47.14273+00,2025-07-06,2025-07-06 19:23:47.14273+00
16,5a82822e-c53b-4653-a5ff-e9947f4a3c36,23,2025-06-23 08:05:54.266424+00,2025-06-23,2025-06-23 08:05:54.266424+00
17,5a82822e-c53b-4653-a5ff-e9947f4a3c36,32,2025-06-24 08:50:31.682881+00,2025-06-24,2025-06-24 08:50:31.682881+00
18,5a82822e-c53b-4653-a5ff-e9947f4a3c36,27,2025-06-28 10:02:05.711037+00,2025-06-28,2025-06-28 10:02:05.711037+00
19,5a82822e-c53b-4653-a5ff-e9947f4a3c36,49,2025-07-09 09:04:02.795204+00,2025-07-09,2025-07-09 09:04:02.795204+00
20,5a82822e-c53b-4653-a5ff-e9947f4a3c36,22,2025-06-29 10:32:31.658126+00,2025-06-29,2025-06-29 10:32:31.658126+00
21,5a82822e-c53b-4653-a5ff-e9947f4a3c36,30,2025-06-30 08:55:24.615039+00,2025-06-30,2025-06-30 08:55:24.615039+00
22,5a82822e-c53b-4653-a5ff-e9947f4a3c36,40,2025-07-24 21:51:23.056786+00,2025-07-24,2025-07-24 21:51:23.056786+00
23,5a82822e-c53b-4653-a5ff-e9947f4a3c36,61,2025-07-25 09:19:47.112816+00,2025-07-25,2025-07-25 09:19:47.112816+00
24,5a82822e-c53b-4653-a5ff-e9947f4a3c36,62,2025-08-05 20:41:30.388618+00,2025-08-05,2025-08-05 20:41:30.388618+00
25,5a82822e-c53b-4653-a5ff-e9947f4a3c36,51,2025-08-06 07:05:35.649704+00,2025-08-06,2025-08-06 07:05:35.649704+00
26,5a82822e-c53b-4653-a5ff-e9947f4a3c36,95,2025-08-27 11:41:51.909663+00,2025-08-27,2025-08-27 11:41:51.909663+00
27,5a82822e-c53b-4653-a5ff-e9947f4a3c36,83,2025-08-28 10:38:55.004628+00,2025-08-28,2025-08-28 10:38:55.004628+00
28,5a82822e-c53b-4653-a5ff-e9947f4a3c36,81,2025-09-01 08:04:48.798872+00,2025-09-01,2025-09-01 08:04:48.798872+00
29,5a82822e-c53b-4653-a5ff-e9947f4a3c36,94,2025-09-04 15:26:09.729818+00,2025-09-04,2025-09-04 15:26:09.729818+00
30,5a82822e-c53b-4653-a5ff-e9947f4a3c36,143,2025-12-14 11:28:44.095+00,2025-12-14,2025-12-14 11:28:44.095+00
31,5a82822e-c53b-4653-a5ff-e9947f4a3c36,151,2025-12-15 07:45:58.794+00,2025-12-15,2025-12-15 07:45:58.794+00
32,5a82822e-c53b-4653-a5ff-e9947f4a3c36,150,2025-12-16 08:59:46.981077+00,2025-12-16,2025-12-16 08:59:46.981077+00
33,5a82822e-c53b-4653-a5ff-e9947f4a3c36,153,2025-12-17 10:15:13.235634+00,2025-12-17,2025-12-17 10:15:13.235634+00
34,5a82822e-c53b-4653-a5ff-e9947f4a3c36,154,2025-12-18 12:00:30.368326+00,2025-12-18,2025-12-18 12:00:30.368326+00